YEAR,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1901-03-15,24.23,18.71,26.06,27.3,21.92
1902-03-15,24.33,19.7,26.44,27.18,21.49
1903-03-15,23.8,19.05,25.47,27.17,21.27
1904-03-15,23.86,18.66,25.84,26.83,21.42
1905-03-15,23.71,17.58,24.99,27.37,21.48
1906-03-15,24.12,18.37,25.93,27.15,22.08
1907-03-15,23.87,19.35,24.89,26.89,21.76
1908-03-15,23.95,19.04,26.02,26.95,21.17
1909-03-15,23.78,18.42,25.71,26.53,21.75
1910-03-15,23.77,18.93,25.74,26.81,20.96
1911-03-15,23.96,18.85,25.53,27.18,21.48
1912-03-15,24.11,19.72,25.81,27.13,21.29
1913-03-15,23.88,19.09,25.56,26.93,21.32
1914-03-15,24.03,19.31,25.53,27.15,21.52
1915-03-15,24.29,18.47,26.03,27.6,22.01
1916-03-15,24.08,19.1,26.41,26.92,21.27
1917-03-15,23.56,19.05,24.89,26.75,21.01
1918-03-15,23.83,18.4,25.39,27.07,21.54
1919-03-15,24.01,18.96,25.85,27.06,21.48
1920-03-15,23.91,18.72,25.27,27.05,21.85
1921-03-15,24.33,19.06,26.6,26.99,21.39
1922-03-15,24.05,19.4,25.88,27.07,21.2
1923-03-15,24.05,18.8,26.12,27.11,21.4
1924-03-15,24.15,19.02,26.14,27.18,21.52
1925-03-15,23.95,18.31,26.18,26.92,21.51
1926-03-15,24.04,19.68,25.28,27.41,21.26
1927-03-15,23.94,18.77,25.51,26.98,21.76
1928-03-15,24.29,19.39,26.19,27.18,21.81
1929-03-15,24.08,18.62,26.36,27.1,21.42
1930-03-15,23.93,18.23,25.81,27.04,21.71
1931-03-15,24.44,19.54,26.36,27.29,21.97
1932-03-15,24.21,19.12,25.91,27.32,21.75
1933-03-15,23.92,19.1,25.34,26.87,21.77
1934-03-15,24.13,19.15,25.89,27.29,21.55
1935-03-15,23.98,18.62,25.77,26.96,21.65
1936-03-15,24.12,19.03,26.02,26.94,21.86
1937-03-15,23.98,19.11,25.61,27.32,21.14
1938-03-15,23.98,18.46,26.5,26.86,21.31
1939-03-15,24.01,19.1,25.41,27.16,21.67
1940-03-15,24.06,19.03,25.49,27.08,21.91
1941-03-15,24.65,19.31,26.87,27.45,22.3
1942-03-15,24.22,19.07,26.49,27.18,21.72
1943-03-15,23.93,18.89,25.57,26.97,21.68
1944-03-15,24.03,18.54,25.7,27.27,21.76
1945-03-15,23.92,18.35,25.71,27.43,21.16
1946-03-15,24.42,19.52,26.12,27.24,22.13
1947-03-15,24.04,18.78,26.42,27.32,21.39
1948-03-15,24.11,18.83,26.04,27.08,21.73
1949-03-15,24.08,19.18,26.14,27.08,21.29
1950-03-15,23.71,18.71,25.5,26.87,21.14
1951-03-15,24.22,18.68,25.47,27.19,22.45
1952-03-15,24.34,19.86,26.04,27.25,21.77
1953-03-15,24.57,19.47,26.87,27.33,22.01
1954-03-15,24.13,19.11,26.5,27.09,21.15
1955-03-15,23.97,19.46,25.58,26.98,21.35
1956-03-15,23.96,18.83,26.31,26.66,21.41
1957-03-15,23.97,18.73,25.25,27.15,21.94
1958-03-15,24.62,20.01,26.45,27.43,22.13
1959-03-15,24.3,18.93,26.31,27.19,22
1960-03-15,24.29,19.72,25.7,27.34,21.84
1961-03-15,24,18.98,26.11,27.06,21.17
1962-03-15,24.04,18.91,25.91,27.14,21.47
1963-03-15,24.15,19.07,25.57,27.21,22.04
1964-03-15,24.1,18.83,26.38,26.9,21.58
1965-03-15,24.07,19.22,25.24,27.08,22.1
1966-03-15,24.36,19.93,26.07,27.17,21.83
1967-03-15,24.11,19.44,25.55,27.19,21.68
1968-03-15,23.94,18.25,25.62,27.22,21.69
1969-03-15,24.46,19.18,26.39,27.35,22.2
1970-03-15,24.26,19.56,26.39,27.06,21.55
1971-03-15,3,19.05,25.78,26.75,21.48
1972-03-15,24.1,18.57,25.78,27.27,21.88
1973-03-15,24.41,19.74,26.53,27.3,21.53
1974-03-15,24,18.54,26.24,27.02,21.38
1975-03-15,23.74,18.69,25.77,26.57,21.3
1976-03-15,24.07,18.87,25.61,26.87,22.25
1977-03-15,24.35,19.35,26.03,27.13,22.3
1978-03-15,24.24,18.95,25.94,27.12,22.22
1979-03-15,24.57,19.47,25.97,27.54,22.59
1980-03-15,24.55,19.64,26.58,27.26,22.17
1981-03-15,24.27,19.42,26.14,27.22,21.68
1982-03-15,24.15,19.14,25.41,27.31,22.02
1983-03-15,24.12,19.09,25.45,27.43,21.71
1984-03-15,24.26,18.85,26.51,27.1,21.82
1985-03-15,24.45,19.61,26.72,27.12,21.84
1986-03-15,24.2,19.12,25.94,27.17,21.9
1987-03-15,24.57,19.42,25.85,27.88,22.29
1988-03-15,24.42,19.7,26.24,27.22,22
1989-03-15,24.03,18.76,25.69,26.98,21.94
1990-03-15,24.21,19.44,25.55,27.18,22.11
1991-03-15,24.28,19.21,26.02,27.32,21.87
1992-03-14,24.15,19.06,25.64,27.15,22.04
1993-03-15,24.43,19.61,25.98,27.34,22.21
1994-03-15,24.46,19.76,26.3,27.3,21.97
1995-03-15,25.29,20.33,26.94,28.07,23.19
1996-03-15,24.55,20.79,26.49,27.22,21.76
1997-03-15,24.1,18.87,25.69,27.6,21.89
